id,name,parentlayerid,defaultvisibility,sublayerids,minscale,maxscale
0,Aqua regia for Agricultural Land_Ap Samples,-1,True,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53]",False,False
1,Ag_Silver_Ap_AquaRegia,0,True,,False,False
2,Al_Alluminium_Ap_AquaRegia,0,False,,False,False
3,As_Arsenic_Ap_AquaRegia,0,False,,False,False
4,Au_Gold_Ap_AquaRegia,0,False,,False,False
5,B_Boron_Ap_AquaRegia,0,False,,False,False
6,Ba_Barium_Ap_AquaRegia,0,False,,False,False
7,Bi_Bismuth_Ap_AquaRegia,0,False,,False,False
8,Be_Beryllium_Ap_AquaRegia,0,False,,False,False
9,Ca_Calcium_AP_AquaRegia,0,False,,False,False
10,Cd_Cadmium_Ap_AquaRegia,0,False,,False,False
11,Ce_Cerium_Ap_AquaRegia,0,False,,False,False
12,Co_Cobalt_Ap_AquaRegia,0,False,,False,False
13,Cr_Chromium_Ap_AquaRegia,0,False,,False,False
14,Cs_Caesium_Ap_AquaRegia,0,False,,False,False
15,Cu_Copper_Ap_AquaRegia,0,False,,False,False
16,Fe_Iron_AP_AquaRegia,0,False,,False,False
17,Ga_Gallium_AP_AquaRegia,0,False,,False,False
18,Ge_Germanium_Ap_AquaRegia,0,False,,False,False
19,Hf_Hafnium_Ap_AquaRegia,0,False,,False,False
20,Hg_Mercury_Ap_AquaRegia,0,False,,False,False
21,In_Indium_Ap_AquaRegia,0,False,,False,False
22,K_Potassium_Ap_AquaRegia,0,False,,False,False
23,La_Lanthanum_Ap_AquaRegia,0,False,,False,False
24,Li_Lithium_Ap_AquaRegia,0,False,,False,False
25,Mg_Magnesium_Ap_AquaRegia,0,False,,False,False
26,Mn_Manganese_Ap_AquaRegia,0,False,,False,False
27,Mo_Molybdenum_Ap_AquaRegia,0,False,,False,False
