fileName,colName,fine_grained_label
actorfilms_12.csv,Actor,Actor
actorfilms_14.csv,Actor,Actor
actorfilms_160.csv,Actor,Actor
actorfilms_182.csv,Actor,Actor
actorfilms_190.csv,Actor,Actor
actorfilms_191.csv,Actor,Actor
actorfilms_21.csv,Actor,Actor
actorfilms_223.csv,Actor,Actor
actorfilms_238.csv,Actor,Actor
actorfilms_254.csv,Actor,Actor
actorfilms_291.csv,Actor,Actor
actorfilms_296.csv,Actor,Actor
actorfilms_301.csv,Actor,Actor
actorfilms_306.csv,Actor,Actor
actorfilms_308.csv,Actor,Actor
actorfilms_383.csv,Actor,Actor
actorfilms_71.csv,Actor,Actor
actorfilms_89.csv,Actor,Actor
actorfilms_12.csv,Film,Film
actorfilms_14.csv,Film,Film
actorfilms_160.csv,Film,Film
actorfilms_182.csv,Film,Film
actorfilms_190.csv,Film,Film
actorfilms_191.csv,Film,Film
actorfilms_21.csv,Film,Film
actorfilms_223.csv,Film,Film
actorfilms_238.csv,Film,Film
actorfilms_254.csv,Film,Film
actorfilms_291.csv,Film,Film
actorfilms_296.csv,Film,Film
actorfilms_301.csv,Film,Film
actorfilms_306.csv,Film,Film
actorfilms_308.csv,Film,Film
actorfilms_383.csv,Film,Film
actorfilms_71.csv,Film,Film
actorfilms_89.csv,Film,Film
actorfilms_12.csv,Rating,Rating_Actor
actorfilms_14.csv,Rating,Rating_Actor
actorfilms_160.csv,Rating,Rating_Actor
actorfilms_182.csv,Rating,Rating_Actor
actorfilms_190.csv,Rating,Rating_Actor
actorfilms_191.csv,Rating,Rating_Actor
actorfilms_21.csv,Rating,Rating_Actor
actorfilms_223.csv,Rating,Rating_Actor
actorfilms_238.csv,Rating,Rating_Actor
actorfilms_254.csv,Rating,Rating_Actor
actorfilms_291.csv,Rating,Rating_Actor
actorfilms_296.csv,Rating,Rating_Actor
actorfilms_301.csv,Rating,Rating_Actor
actorfilms_306.csv,Rating,Rating_Actor
actorfilms_308.csv,Rating,Rating_Actor
actorfilms_383.csv,Rating,Rating_Actor
actorfilms_71.csv,Rating,Rating_Actor
